height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
190.0,75.0,106.0,65.0,11.0,30.0,0.0,2.0,0.0,0.0,0.0,2.0,0.009183023798356282,0.0,0.0,0.009183023798356282,0.017625858329475535,0.0,0.0,0.017625858329475535
170.0,60.0,443.0,189.0,115.0,139.0,39.0,21.0,0.0,0.0,0.0,21.0,0.016844622681601785,0.0,0.0,0.016844622681601785,0.021199393234420067,0.0,0.0,0.021199393234420067
186.0,71.0,339.0,156.0,77.0,106.0,38.0,42.0,1.0,1.0,0.0,106.3796878657202,0.047143272496989935,0.0003536010111793288,0.0024021300274023826,0.1340157374470673,0.0764253032604984,0.0003529063995801481,0.0026209232520700296,0.17012181688080158
184.0,84.0,229.0,78.0,64.0,87.0,9.0,25.0,0.0,5.0,0.5,181.47262429200754,0.0327489962897967,0.0,0.009103092074470357,0.317625937502627,0.032887657073973904,0.0,0.009141634992681153,0.3189707805988674
187.0,80.0,168.0,70.0,36.0,62.0,8.0,35.0,1.0,0.0,0.0,68.0851630073187,0.07836776557490618,0.0018895384768940998,0.0,0.14088345409154818,0.10226712622653852,0.003763646404145957,0.0,0.2267879810096163
190.0,86.0,325.0,133.0,82.0,110.0,21.0,54.0,2.0,3.0,0.25,214.05390058984193,0.06290793592564942,0.004807832784369216,0.003943632017914736,0.3453899575254567,0.04787474322257532,0.00403350776955937,0.005325860730065019,0.3479942862791377
178.0,71.0,226.0,71.0,56.0,99.0,5.0,40.0,2.0,1.0,0.25,137.4648508730389,0.0805135115314197,0.002722160649862305,0.0004803812911521715,0.1856099446216953,0.11578205849016261,0.004329460734310496,0.0007640224825253817,0.2829326931903793
172.0,59.0,213.0,64.0,57.0,92.0,29.0,15.0,1.0,0.0,0.25,48.0851630073187,0.02680256157811515,0.007508936160584637,0.0,0.2752369384626077,0.031380150528528404,0.009482527886209659,0.0,0.34511113136522015
189.0,80.0,24.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,70.0,229.0,111.0,53.0,65.0,68.0,33.0,0.0,2.0,0.625,95.58904971680302,0.037230551282505096,0.0,0.008402789861884799,0.3001918674951832,0.033283304940852985,0.0,0.009128001965929562,0.3189397893711735
190.0,88.0,47.0,26.0,14.0,7.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.0,72.0,246.0,107.0,66.0,73.0,56.0,45.0,0.0,1.0,0.75,76.2945248584015,0.07730096847713426,0.0,0.0017993757841094462,0.13361157868255305,0.10365649570707092,0.0,0.0018069944254579086,0.16020552767355636
172.0,69.0,196.0,77.0,53.0,66.0,4.0,28.0,1.0,1.0,0.75,92.3796878657202,0.04840613990647812,0.0011743294591030071,0.0011743294591030071,0.12400910393504976,0.04861109377007224,0.0011793016250356877,0.0011793016250356877,0.12453416428940642
180.0,68.0,104.0,32.0,33.0,39.0,12.0,28.0,0.0,0.0,0.5,28.0,0.0794756111144914,0.0,0.0,0.0794756111144914,0.08010350050002407,0.0,0.0,0.08010350050002407
194.0,84.0,155.0,61.0,48.0,46.0,61.0,19.0,0.0,1.0,0.75,50.29452485840151,0.03629536373085291,0.0,0.002699063676164169,0.12076127903898107,0.029253133588043094,0.0,0.002710491638186863,0.11407668153777131
