index,weight,yellowCards,skin_colour,defeats,yellowReds,ties,goals,games,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
445,68.0,100,0.25,121,5,103,43,465,4,241,170.0,390.7091062263977,0.0746777983703454,0.004967865757424883,0.003336675029847657,0.3435573992690573,0.09274431043847375,0.011567089165186301,0.004286346638302875,0.6097696056436984
446,82.0,34,0.5,34,1,23,11,117,0,60,184.0,67.0971390552229,0.09432673149906692,0.004155385959554522,0.0,0.23185811843056375,0.11339933506067461,0.0052263730826323605,0.0,0.2863773317310317
447,74.0,8,0.125,28,0,9,0,49,0,12,183.0,8.0,0.05588223740841647,0.0,0.0,0.05588223740841647,0.0942907855372392,0.0,0.0,0.0942907855372392
448,83.0,27,0.375,84,1,71,70,288,0,133,190.0,60.09713905522289,0.03129696300457785,0.000629211518958357,0.0,0.052122064142690605,0.032932121080052036,0.0006279754998136469,0.0,0.053716313520657415
449,75.0,34,0.75,82,0,107,2,457,4,268,186.0,159.2234109502832,0.024895442023264023,0.0,0.0027907259031713957,0.112261496178872,0.033549210059145115,0.0,0.004960548314814706,0.18884340510033928
450,74.0,14,0.0,49,0,13,16,104,2,42,183.0,76.6117054751416,0.03129978605852886,0.0,0.011607867677335206,0.3946939821623928,0.03123830095593932,0.0,0.011585065255182794,0.3939186477898399
451,72.0,23,0.125,93,0,61,89,274,0,120,177.0,23.0,0.021973220459666216,0.0,0.0,0.021973220459666216,0.02840090245278465,0.0,0.0,0.02840090245278465
452,65.0,44,0.125,120,3,94,14,347,0,133,175.0,143.29141716566866,0.037389618725285935,0.0011919230753940477,0.0,0.07683886249473165,0.03784913987694505,0.0011969697335221486,0.0,0.0774654135922207
453,73.0,65,0.0,95,1,63,9,254,2,96,183.0,160.7088445303645,0.10641179671633988,0.0014764393098364956,0.0011073294823773718,0.1899436075678722,0.13841794318501024,0.0014735390017557063,0.0011051542513167798,0.2217856646734365
454,80.0,28,0.75,61,1,51,6,210,0,98,183.0,61.09713905522289,0.05441861180863318,0.004931914589162294,0.0,0.21765087477462008,0.0965362395809823,0.007843964153927251,0.0,0.3561490119276964
457,59.0,11,0.25,30,0,19,3,85,1,36,169.0,42.3058527375708,0.04260905801521166,0.0,0.0037744244304813474,0.1607706334049502,0.0677675814659021,0.0,0.006003033791270856,0.2556976733140889
458,93.0,9,0.0,55,0,33,0,136,2,48,196.0,71.6117054751416,0.023134528049931855,0.0,0.004155903242502729,0.15323862295131524,0.023089082728744968,0.0,0.004147739412349395,0.15293760196557354
459,64.0,8,0.25,106,0,75,12,276,0,95,178.0,8.0,0.008909209536483165,0.0,0.0,0.008909209536483165,0.009506980352273311,0.0,0.0,0.009506980352273311
460,70.0,37,0.5,91,3,57,46,251,5,103,169.0,292.8206808535226,0.04762888439550476,0.001992222601735964,0.007364552237617623,0.3441193407031228,0.08449844318954391,0.003405175702539952,0.013363310625065,0.6155498514386751
461,89.0,11,0.125,85,0,79,0,240,5,76,188.0,167.52926368785398,0.013477161414291849,0.0,0.007171797768093365,0.23799640620586165,0.013534224346958607,0.0,0.007202163495753665,0.2390040941369309
462,68.0,28,0.25,98,3,65,36,267,1,104,176.0,158.59726990323946,0.030184059088358632,0.006543179841843409,0.0004267291201202224,0.26010371117049813,0.04020157212834915,0.010260443180554833,0.0006691593378622717,0.4007414905324725
463,73.0,17,0.125,41,1,25,32,119,0,53,180.0,50.09713905522289,0.05835332477401371,0.004900910099621016,0.0,0.2205594278383167,0.07539891669227916,0.007678952991452984,0.0,0.32955029164891836
464,70.0,51,0.375,55,5,38,16,242,1,149,179.0,247.79154801368526,0.07759401529783477,0.00694905755804894,0.0009436061076203368,0.3371283334467629,0.11929826651060729,0.013273244998154016,0.001500758447817714,0.605587224890599
465,65.0,14,0.0,29,0,18,4,94,2,47,172.0,76.6117054751416,0.05085161187720483,0.0,0.003973252910189887,0.17523768237273404,0.06091099228583838,0.0,0.0043351487304509675,0.1966265200368034
466,69.0,16,0.5,75,0,79,13,259,0,105,176.0,16.0,0.013445310685043739,0.0,0.0,0.013445310685043739,0.013502238760231043,0.0,0.0,0.013502238760231043
467,74.0,15,0.0,28,1,32,4,91,1,31,177.0,79.40299179279369,0.059558083995698625,0.006233854863754092,0.0020659499743478824,0.33055717093156833,0.059636374908737175,0.006221609118524093,0.0020746973033035246,0.3305040053040272
468,73.0,35,0.125,121,2,82,14,305,4,102,184.0,226.41768906072897,0.04399797207358498,0.0012271742847626424,0.0038324315488836008,0.20459146771753822,0.04661706653363395,0.0012323701981622936,0.003846339832841546,0.20781794273531404
469,76.0,75,0.25,161,4,110,18,463,3,192,183.0,301.30611443360397,0.0674878711061015,0.001612105781205115,0.0009203624928338099,0.14965669298421472,0.09906965581381343,0.002563973834400824,0.0011670778516315583,0.2204662217013886
470,67.0,27,0.25,41,0,46,8,151,1,64,168.0,58.3058527375708,0.06274649861596389,0.0,0.005171643089853057,0.2246491955981794,0.10037140062246022,0.0,0.008403361344537813,0.363445793375156
472,75.0,25,1.0,40,0,35,6,124,4,49,185.0,150.2234109502832,0.0646996836029675,0.0,0.011766354099370895,0.43305543229598525,0.07292356157074058,0.0,0.026047376690123466,0.88835890043178
473,90.0,40,0.375,56,2,46,15,206,2,104,195.0,168.80598358558737,0.07836125083032167,0.0016554678341244066,0.0015175121812807057,0.18065951281242942,0.13953076134972336,0.0026329390167028534,0.002413527431977616,0.3022310444730382
474,72.0,11,0.0,52,0,21,19,112,0,39,185.0,11.0,0.036596539675621244,0.0,0.0,0.036596539675621244,0.04659808568121196,0.0,0.0,0.04659808568121196
475,80.0,19,0.75,43,1,41,14,176,0,92,194.0,52.09713905522289,0.06327044391666285,0.0004950414156510603,0.0,0.07965489848856036,0.10220616419193601,0.0004940689594122074,0.0,0.1185584332444711
476,85.0,31,0.5,37,0,33,6,116,2,46,193.0,93.6117054751416,0.09671843298296008,0.0,0.003821568885430427,0.2163559057367276,0.14876920687310216,0.0,0.006399753026133211,0.34911893266605154
477,79.0,20,0.0,51,0,32,29,147,0,64,179.0,20.0,0.03915306129784981,0.0,0.0,0.03915306129784981,0.039076149270844546,0.0,0.0,0.039076149270844546
478,70.0,38,0.0,64,1,50,19,157,1,43,184.0,102.4029917927937,0.07717326829485696,0.0009248026446228599,0.0036992105784914397,0.22358853163809475,0.08135509974670233,0.0009229859681326952,0.0036919438725307807,0.22748274586883507
480,74.0,74,0.25,75,2,53,3,328,0,200,178.0,140.1942781104458,0.0784384876470509,0.0015229893844665092,0.0,0.12884507908436726,0.12245617275963068,0.0021972372245396025,0.0,0.1951784387175298
481,69.0,117,0.125,132,4,85,3,387,3,170,176.0,343.30611443360397,0.09780575385566316,0.001045648993194375,0.001426709339467567,0.17707809646705977,0.13835169943657133,0.0016630525675019742,0.002269110041250262,0.2644304063160534
482,70.0,74,0.125,148,5,135,238,596,1,313,183.0,270.79154801368526,0.026827952331881958,0.0011729952404382646,0.00014234844606828933,0.07010707840581773,0.037958295826928036,0.0016612235401629054,0.0001553139704930388,0.09780227862585185
483,79.0,34,0.0,130,0,92,31,355,0,133,181.0,34.0,0.02757072352223738,0.0,0.0,0.02757072352223738,0.021841083932467465,0.0,0.0,0.021841083932467465
484,76.03452685421995,8,0.25,17,0,12,6,58,1,29,182.04424778761063,39.3058527375708,0.036370167706998524,0.0,0.008058204193831114,0.2886391215283508,0.04825325343469098,0.0,0.012004801920768313,0.42407381450997084
485,64.0,86,0.0,107,0,127,14,410,4,176,170.0,211.2234109502832,0.07861230156186383,0.0,0.002846986386727972,0.16773963813063864,0.1240815545027445,0.0,0.002859040660435545,0.21358626038906692
486,73.0,64,0.625,129,3,137,105,604,0,338,181.0,163.29141716566866,0.044298480765777706,0.0010204995275763953,0.0,0.07807409553576293,0.05395085303908643,0.001045291264408968,0.0,0.08854700337043978
487,82.0,10,0.125,21,0,23,3,97,0,53,187.0,10.0,0.033978899046096245,0.0,0.0,0.033978899046096245,0.033912151110828515,0.0,0.0,0.033912151110828515
488,70.0,15,0.0,46,1,43,2,146,0,57,176.0,48.09713905522289,0.024908645137007804,0.0014679118238787587,0.0,0.07349232689272892,0.027492466643649138,0.0014741270312946097,0.0,0.07628185398346975
493,73.0,9,0.5,35,2,23,2,108,1,50,178.0,106.50013084801658,0.02634243742872501,0.0062248536285764815,0.004537356718426723,0.37441310481702406,0.03272073352498301,0.006222229816370713,0.004950632809465612,0.39364252068187533
494,72.0,52,0.625,71,3,92,3,292,0,129,180.0,151.29141716566866,0.06399970099060766,0.001748679085430172,0.0,0.12187597584405004,0.0848201441915826,0.0017560830745819121,0.0,0.14294146990354348
495,72.0,46,0.25,87,3,93,127,466,3,286,170.0,239.20897537838107,0.02379064647467597,0.001537628990676374,0.0036342872218934875,0.18845622756906674,0.031232954261840532,0.0020526470966386007,0.009665699053942258,0.4017626518389815
496,69.0,35,0.0,108,1,75,3,255,0,72,173.0,68.0971390552229,0.05395581222969878,0.0004864591509365654,0.0,0.07005621839293193,0.07110824123802922,0.000488518841766237,0.0,0.08727681727506278
497,78.0,20,0.25,73,0,52,21,177,1,52,194.0,51.3058527375708,0.03248351428743373,0.0,0.006120512048049473,0.22409136314219838,0.03344896836044623,0.0,0.0061084889527327465,0.2246804239637755
498,81.0,8,0.0,24,0,18,10,71,0,29,187.0,8.0,0.04691657598729548,0.0,0.0,0.04691657598729548,0.07514297422268063,0.0,0.0,0.07514297422268063
499,69.0,25,0.25,55,2,29,5,136,1,52,174.0,122.50013084801658,0.07410322366455152,0.006939635408983089,0.002661875119777309,0.38711757229376553,0.11901369663920368,0.011471503501119395,0.004325259515570934,0.634093580634469
500,77.0,30,0.0,58,0,67,9,247,0,122,186.0,30.0,0.026340561831303254,0.0,0.0,0.026340561831303254,0.026452089003827155,0.0,0.0,0.026452089003827155
501,77.0,86,0.125,194,2,197,265,914,2,523,183.0,214.8059835855874,0.024656558088748247,0.0005255390549106403,0.00025960718668684363,0.05017762162410951,0.0278833640121684,0.0007462619563673255,0.00028325298973420535,0.06144997613777611
502,82.0,21,0.75,73,1,47,45,194,0,74,172.0,54.09713905522289,0.038839269446675324,0.002771150600567899,0.0,0.13055642621663546,0.04077581877135889,0.0014225072254335238,0.0,0.08785673821859151
503,77.0,32,0.5,139,3,118,82,389,4,132,188.0,256.51482811595184,0.01776303288071566,0.0011545910394486453,0.003156165383173877,0.15478314176632194,0.018550444612488837,0.0012173830179727473,0.00331428720019547,0.16259892666113498
505,74.0,112,0.0,112,7,85,25,383,0,186,180.0,343.6799733865602,0.09711235081068818,0.0029353775974931373,0.0,0.19426495133450464,0.14324385395650885,0.004668571654418727,0.0,0.2977602191920774
506,76.0,39,0.5,114,0,97,81,342,0,131,178.0,39.0,0.019053605046065476,0.0,0.0,0.019053605046065476,0.01854934711158845,0.0,0.0,0.01854934711158845
507,79.0,4,0.25,45,0,38,7,168,0,85,186.0,4.0,0.009416738069932644,0.0,0.0,0.009416738069932644,0.01584282205247622,0.0,0.0,0.01584282205247622
508,79.0,59,0.0,104,4,66,9,278,3,108,188.0,285.30611443360397,0.07624640563394473,0.005311624858415423,0.002745119837066432,0.3379843095482846,0.1097392769623524,0.007037313173933458,0.004724936053618248,0.4905723619441919
509,64.0,44,0.25,82,0,68,43,265,0,115,167.0,44.0,0.0519364249180183,0.0,0.0,0.0519364249180183,0.10552669641610889,0.0,0.0,0.10552669641610889
511,72.0,49,0.5,66,1,86,2,389,0,237,176.0,82.0971390552229,0.04715693791858358,0.00019217040219219063,0.0,0.05351722844223663,0.06067474120282968,0.00020967386016560236,0.0,0.06761434610897596
512,65.0,20,0.0,102,1,78,33,267,1,87,176.0,84.40299179279369,0.019159719085000564,0.005976498140077803,0.001992166046692601,0.27933116597698376,0.02050214898995559,0.006001802913128054,0.0020006009710426846,0.2817751739739001
