goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
98,1981,0,157,0,75,86,2,35,1,153,1,186,396,58
4,1986,1,77,1,69,53,4,28,1,66,1,172,196,76
41,1977,0,67,3,76,53,2,28,3,100,1,181,220,23
10,1990,0,47,2,76,29,0,6,0,36,0,182,112,2
4,1982,0,79,3,75,38,4,34,0,83,1,180,200,20
4,1981,0,94,3,73,51,4,55,1,79,4,185,224,35
6,1982,0,158,0,75,78,9,41,2,78,0,183,314,58
1,1971,0,247,0,91,151,5,7,1,184,0,193,582,80
0,1984,0,76,0,95,42,5,9,0,70,0,193,188,8
0,1982,0,43,0,79,36,5,4,2,45,0,193,124,43
9,1991,0,18,0,71,15,0,6,0,26,0,176,59,22
84,1980,0,144,1,78,63,2,61,2,71,0,189,278,5
40,1984,0,214,0,78,76,1,66,3,104,0,182,394,21
1,1989,1,31,3,71,21,6,11,0,34,0,174,86,37
19,1981,0,161,0,85,103,1,38,1,148,0,195,412,34
58,1984,0,142,0,75,74,0,20,0,105,2,176,321,8
3,1986,1,34,1,69,44,1,25,1,50,0,178,128,84
32,1987,0,84,3,68,55,11,28,0,82,0,175,221,23
4,1988,0,41,2,85,21,1,23,2,33,2,194,95,33
4,1990,0,51,0,70,32,6,18,0,32,0,172,115,27
4,1994,0,37,3,65,15,0,6,1,13,0,168,65,72
88,1985,0,147,0,70,78,11,15,0,95,0,186,320,34
32,1988,0,56,3,64,38,2,13,0,71,0,178,165,66
12,1988,0,252,3,73,54,4,75,1,34,1,189,340,29
123,1981,1,183,2,74,85,8,79,2,146,1,178,414,85
12,1989,0,38,3,84,26,1,41,3,47,2,187,111,72
0,1979,0,80,3,88,54,5,12,1,80,0,191,214,59
11,1990,0,69,3,75,38,4,42,1,55,1,182,162,50
27,1979,0,126,1,70,114,0,22,0,141,0,174,381,54
81,1986,1,134,0,85,103,2,38,1,143,1,185,380,78
24,1980,0,57,3,71,59,8,28,1,104,0,175,220,23
22,1991,0,66,3,65,32,0,15,0,46,0,176,144,83
47,1978,0,296,3,79,121,6,91,2,157,3,182,574,26
